sku,cost
19734,81.35
19735,81.35
19736,81.35
19737,81.35
19738,81.35
19739,81.35
19740,81.35
19741,81.35
19742,81.35
19760,93.78
19761,93.78
19762,93.78
19763,93.78
19764,93.78
19765,93.78
19766,93.78
19767,93.78
19770,74.43
19771,74.43
19772,74.43
19773,74.43
19774,74.43
19775,74.43
19776,74.43
19777,74.43
19778,74.43
19779,74.43
19780,74.43
19781,74.43
19782,74.43
19783,74.43
19784,74.43
19785,74.43
19786,85.83
19787,85.83
19788,85.83
19789,85.83
19790,85.83
19791,85.83
19792,85.83
19793,85.83
19800,80.78
19802,80.78
19804,80.78
19806,80.78
19840,63.21
19841,63.21
19842,63.21
19843,63.21
19844,63.21
19845,63.21
19846,63.21
19847,63.21
19847/05,131.24
19848,63.21
19849,63.21
19849/05,154.07
19850,63.21
19851,63.21
19852,63.21
19853,63.21
19855,63.21
19856,74.43
19857,74.43
19858,74.43
19859,74.43
19860,74.43
19861,74.43
19862,74.43
19863,74.43
19864,91.72
19865,91.72
19866,91.72
19867,91.72
19868,91.72
19869,91.72
19870,91.72
19871,91.72
19872,91.72
19873,91.72
19874,91.72
19875,91.72
19876,91.72
19877,91.72
19878,91.72
19878/06,133.85
19879,91.72
19882,186.72
19883,186.72
19884,186.72
19885,186.72
19890,139.22
19891,139.22
19893/06,29.68
19900,99.30
19901,99.30
19902,99.30
19903,99.30
19904,99.30
19905,99.30
19911/05,33.00
19916,48.62
19916/06,48.66
19917,48.62
19917/06,70.03
19918,73.68
19918/06,27.30
19919,73.68
19919/06,21.36
19920,112.95
19921,112.95
19921/06,36.80
19923,25.25
19926,13.56
19927,13.56
19928,13.56
19929,13.56
19929/05,24.54
19929/51,24.54
19930/05,24.54
19930/51,24.54
19940,16.62
19942,113.88
19943,113.88
19944,113.88
19945,113.88
19946,113.88
19947,113.88
19971/05,43.37
19971/06,43.37
19973/06,43.37
19975/05,43.37
19975/06,43.37
19985,57.32
19986,57.32
19987,57.32
19988,57.32
19989,57.32
19990,57.32
19991,57.32
19992,57.32
19997/08,89.23
20051/05,34.24
20052/05,28.53
200671,45.82
200672,83.22
200673,111.27
200674,139.32
200692,14.03
200693,23.38
200694,32.73
200695,42.08
20073/05,487.37
20099/05,108.68
200EXTGRILLESQ,11.99
20108/16,47.48
20114,75.64
20129,101.54
20134,75.64
20141,70.31
20142,47.59
20143,47.59
20144,99.76
20145,99.76
20173,47.22
20174,62.93
20175,102.48
20176,124.36
20182,59.47
20183,91.54
20184,137.26
20198,31.51
20199,88.73
201995,45.82
201996,83.22
201997,111.27
201998,139.32
20200,37.87
20200/05,60.63
20201,34.31
20202,48.99
20203,59.37
20203/05,35.61
20204,71.71
20204/05,28.49
20208,19.82
20209,22.63
20211,34.41
202111,45.82
202112,64.52
20213,53.11
20214/05,33.23
20216,28.80
20217,35.06
20219,51.80
20221,76.86
20224,33.19
20225,34.31
20226,48.99
20227,59.37
20228,71.71
20229,88.26
20231,124.92
20232,171.95
20233,284.05
20236,43.57
20237,59.00
20238,81.72
20241,27.46
20249,31.51
20250,37.87
20251,34.31
20252,48.99
20252/05,40.36
20253,59.37
20254,71.71
20255,9.97
20257,88.26
20258,115.10
20259,115.10
20262,103.78
202622,4.68
202624,4.68
202626,6.78
202627,2.81
202628,2.81
20263,103.78
20264,121.92
20265,121.92
20265/06,46.90
20266,121.92
20267,121.92
20268,121.92
20269,121.92
202779,86.49
20279,89.67
20280,109.30
20281,168.21
20284,18.59
20285,396.35
20286,451.51
20287,18.59
20288,18.59
20290,148.57
20291,148.57
20292,257.97
202938,103.78
202939,124.36
202969,365.31
202971,365.31
202972,398.52
202973,398.52
202977,86.46
202979,46.20
20300,18.30
20302,114.63
20303,114.63
203191N,87.42
203192N,116.88
203193N,156.61
203312,30.39
203313,50.96
203316,64.52
203317,4.68
203319,60.78
203324,17.77
203336,35.06
203337,18.23
203338,35.06
203339,18.23
203357,42.54
203358,42.08
203369,327.13
203371,327.13
203372,360.33
203373,360.33
203375,86.46
203376,46.20
203379,3.74
203424,103.78
203425,124.36
20351/05,85.59
20352/05,108.42
20353,37.40
20354,37.40
20355,37.40
20356,6.29
20358,37.40
20359,37.40
20360,7.48
20361,6.29
203619,138.74
203621,138.74
203622,174.16
203623,174.16
203624,145.44
203625,145.44
203626,178.18
203627,178.18
203628,33.00
203629,62.92
203631,33.00
203632,62.92
203653N,34.36
203655N,45.82
203657N,56.57
20366,83.87
20367,95.93
20368,95.93
20374,15.43
203786N,34.36
203788N,45.82
203791N,56.57
203905N,21.97
203937,179.52
203938,179.52
203939,179.52
20410,21.69
20411,26.27
20412,28.80
204152,94.71
204153,114.35
204154,167.48
204156,218.30
204158,286.85
204159,286.85
20420,21.97
20421,25.71
20422,32.07
20425,29.73
20427,36.93
20429/05,13.77
20429SP001/06,12.46
20429SP001/13,12.46
20430,30.29
20432,61.52
204326,48.15
204327,87.42
204328,116.88
204329,146.33
20433,66.57
204331,48.15
204332,87.42
204333,116.88
204334,146.33
20434,74.05
204346,46.20
204347,46.20
204348,86.46
