supplier	sku	cost_ex_gst	cost_inc_gst
Brilliant Lighting	22882/06	35.0000	38.5000
Brilliant Lighting	22882/05	35.0000	38.5000
Brilliant Lighting	22312/06	70.1400	77.1500
Brilliant Lighting	22312/05	70.1400	77.1500
Brilliant Lighting	21952/06	51.7900	56.9700
Brilliant Lighting	21952/05	51.7900	56.9700
Brilliant Lighting	21912/06	51.7900	56.9700
Brilliant Lighting	21466/06	51.7900	56.9700
Brilliant Lighting	21912/05	51.7900	56.9700
Brilliant Lighting	100550/77	32.2400	35.4600
Brilliant Lighting	18627/06	38.8400	42.7200
Brilliant Lighting	18627/55	38.8400	42.7200
Brilliant Lighting	20252/05	36.6900	40.3600
Brilliant Lighting	21021/06	29.1300	32.0400
Brilliant Lighting	21021/13	34.5300	37.9800
Brilliant Lighting	100550/06	42.0800	46.2900
Brilliant Lighting	100550/20	42.0800	46.2900
Brilliant Lighting	100550/13	39.9200	43.9100
Brilliant Lighting	100550/05	39.9200	43.9100
Brilliant Lighting	100666/16	74.4500	81.9000
Brilliant Lighting	20265/06	42.6400	46.9000
Brilliant Lighting	21810/06	32.3700	35.6100
Brilliant Lighting	21810/05	32.3700	35.6100
Brilliant Lighting	47802/00	18.1600	19.9800
Brilliant Lighting	20255	9.0600	9.9700
Brilliant Lighting	18769/14	124.0900	136.5000
Brilliant Lighting	18769/05	111.1400	122.2500
Brilliant Lighting	18627/05	36.6900	40.3600
Brilliant Lighting	18627/14	52.8700	58.1600
Brilliant Lighting	20200/05	55.1200	60.6300
Brilliant Lighting	18240/14	43.1600	47.4800
Brilliant Lighting	18629/13	124.0900	136.5000
Brilliant Lighting	18628/13	50.7100	55.7800
Brilliant Lighting	99999	51.7900	56.9700
Brilliant Lighting	20099/05	98.8000	108.6800
Brilliant Lighting	99222	62.5800	68.8400
Brilliant Lighting	99777	67.9800	74.7800
Brilliant Lighting	22723/05	20.7500	22.8300
Brilliant Lighting	22724/05	20.7500	22.8300
Brilliant Lighting	99444	53.9500	59.3500
Brilliant Lighting	BRF1050	69.7800	76.7600
Brilliant Lighting	BRF750	69.7800	76.7600
Brilliant Lighting	21721SMART	45.6500	50.2200
Brilliant Lighting	21725SMART	45.6500	50.2200
Brilliant Lighting	VECTORDCSMART	45.6500	50.2200
Brilliant Lighting	99888	75.5300	83.0800
Brilliant Lighting	22767/06	30.0000	33.0000
Brilliant Lighting	22767/05	30.0000	33.0000
Brilliant Lighting	22769/06	18.0000	19.8000
Brilliant Lighting	22769/05	18.0000	19.8000
Brilliant Lighting	22242/06	43.1500	47.4700
Brilliant Lighting	22242/05	43.1500	47.4700
Brilliant Lighting	88888	57.0600	62.7700
Brilliant Lighting	DCWALLCONTROL	30.0900	33.1000
Brilliant Lighting	ISODCWALLCONTROL	30.0000	33.0000
Brilliant Lighting	21895	4.5300	4.9800
Brilliant Lighting	21789	4.3700	4.8100
Brilliant Lighting	18549	6.2600	6.8900
Brilliant Lighting	20240	30.1600	33.1800
Brilliant Lighting	20241	24.9600	27.4600
Brilliant Lighting	20239	28.0800	30.8900
Brilliant Lighting	20481	17.2600	18.9900
Brilliant Lighting	20480	17.2600	18.9900
Brilliant Lighting	20483	19.4200	21.3600
Brilliant Lighting	20365	7.7000	8.4700
Brilliant Lighting	19854	4.3700	4.8100
Brilliant Lighting	20357	5.7200	6.2900
Brilliant Lighting	20356	5.7200	6.2900
Brilliant Lighting	20361	5.7200	6.2900
Brilliant Lighting	20360	6.8000	7.4800
Brilliant Lighting	19107	3.3300	3.6600
Brilliant Lighting	19108	2.1800	2.4000
Brilliant Lighting	18550	9.0600	9.9700
Brilliant Lighting	19098	12.5200	13.7700
Brilliant Lighting	20300	16.6400	18.3000
Brilliant Lighting	18782	15.1100	16.6200
Brilliant Lighting	19283	37.4400	41.1800
Brilliant Lighting	19705/01	21.8400	24.0200
Brilliant Lighting	20374	14.0300	15.4300
Brilliant Lighting	22781/06	41.5000	45.6500
Brilliant Lighting	22781/05	41.5000	45.6500
Brilliant Lighting	18675/06	95.6800	105.2500
Brilliant Lighting	22747/06	41.5000	45.6500
Brilliant Lighting	22747/05	41.5000	45.6500
Brilliant Lighting	22810/06	275.0000	302.5000
