sku	name	price	cost
HV9762-IP20-320-3K	HV9762-IP20-320-3K - 10w IP20 24v DC 3000K CSP Dotless LED Strip Per Meter	33.4950	16.1700
HV9762-IP20-320-4K	HV9762-IP20-320-4K - 10w IP20 24v DC 4000K CSP Dotless LED Strip Per Meter	33.4950	16.1700
HV9762-IP20-320-5K	HV9762-IP20-320-5K - 10w IP20 24v DC 5500K CSP Dotless LED Strip Per Meter - 5000K	33.4950	16.1700
HV9762-IP20-320-3K-30M	HV9762-IP20-320-3K-30M - 10w IP20 24v DC 3000K CSP Dotless LED Strip 30M Roll	904.3650	436.5900
HV9762-IP20-320-4K-30M	HV9762-IP20-320-4K-30M - 10w IP20 24v DC 4000K CSP Dotless LED Strip 30M Roll	904.3650	436.5900
HV9762-IP20-320-5K-30M	HV9762-IP20-320-5K - 10w IP20 24v DC 5500K CSP Dotless LED Strip 30M Roll - 5000K	904.3650	436.5900
HV9762-IP54-320-3K	HV9762-IP54-320-3K - 10w IP54 24v DC 3000K CSP Dotless LED Stripe	40.1940	19.4040
HV9762-IP54-320-4K	HV9762-IP54-320-4K - 10w IP54 24v DC 4000K CSP Dotless LED Stripe	40.1940	19.4040
HV9762-IP54-320-5K	HV9762-IP54-320-5K - 10w IP54 24v DC 5500K CSP Dotless LED Stripe - 5000K	40.1940	19.4040
HV9762-IP54-320-3K-10M	HV9762-IP54-320-3K-10M - 10w IP54 24v DC 3000K CSP Dotless LED Stripe 10m Roll	368.4450	177.8700
HV9762-IP54-320-4K-10M	HV9762-IP54-320-4K-10M - 10w IP54 24v DC 4000K CSP Dotless LED Stripe 10m Roll	368.4450	177.8700
HV9762-IP54-320-5K-10M	HV9762-IP54-320-5K-10M - 10w IP54 24v DC 5500K CSP Dotless LED Stripe 10m Roll - 5000K	368.4450	177.8700
HV9762-IP67-320-3K	HV9762-IP67-320-3K - 10w IP67 24v DC 3000K CSP Dotless LED Strip	43.5435	21.0210
HV9762-IP67-320-4K	HV9762-IP67-320-4K - 10w IP67 24v DC 4000K CSP Dotless LED Strip	43.5435	21.0210
HV9762-IP67-320-5K	HV9762-IP67-320-5K - 10w IP67 24v DC 5500K CSP Dotless LED Strip - 5000K	43.5435	21.0210
HV9762-IP67-320-3K-10M	HV9762-IP67-320-3K-10M - 10w IP67 24v DC 3000K CSP Dotless LED Strip 10m Roll	401.9400	194.0400
HV9762-IP67-320-4K-10M	HV9762-IP67-320-4K-10M - 10w IP67 24v DC 4000K CSP Dotless LED Strip 10m Roll	401.9400	194.0400
HV9762-IP67-320-5K-10M	HV9762-IP67-320-5K-10M - 10w IP67 24v DC 5500K CSP Dotless LED Strip 10m Roll - 5000K	401.9400	194.0400
